ID,Exchange,RemoteName,CLLIcode,Description
2865,,RT WRLD-APPL 200 S ROAD 11,WRLD-APPL,WRLD-APPL
2866,WORLAND,ASPEN MEADOWS APTS,WRLDWYXCDS0,WRLD-ASPM
2867,WRLD,RT WRLD-BHRN BIG HORN,WRLD-BHRN,WRLD-BHRN
2868,WORLAND,RT WRLD-CBSN 1200 CULBERTSON AVE,WRLD-CBSN,WRLD-CBSN
2869,WORLAND,WCCH,WRLDWYXCDS0,WRLD-WCCH
2870,,RT WRLD-HOWL 1901 HOWELL AVE,WRLD-HOWL,WRLD-HOWL
2876,BAGGS,DIXON,BGGSWYXCDS0,DIXON HUT
2886,BROADUS,S BROADUS,BRDSMTXBDS0,BRDS-SBRD
2887,BROADUS,JET ROCK,BRDSMTXBDS0,BRDS-JTRK
2888,RT NWCS-OCRD OIL CREEK RD,ELEMENT NOT FOUND,NWCS-OCRD,NWCS-OC
2892,WORLAND,RT WRLD-RBSN 1007 ROBERTSON AVE,WRLD-RBSN,WRLD-RBSN
2893,BROADUS,CAPP RADIO,BRDSMTXBDS0,BRDS-CAPP
2894,NWCS,ELEMENT NOT FOUND,,CENTRALOFFICE-2894
3094,ARVADA,LEITER NORTH CXR,ARVDWYXCRS1,ARVD-LTRN
3095,ARVADA,CABIN CREEK CXR,ARVDWYXCRS1,ARVD-CBCK
3096,ARVADA,4G CLUBHOUSE CXR,ARVDWYXCRS1,ARVD-FRGE
3098,ARVADA,TR RANCH CXR,ARVDWYXCRS1,ARVD-TRRC
3099,ARVADA,WILD HORSE CXR,ARVDWYXCRS1,ARVD-WDHR
3101,ARVADA,POWDER RIVER 4 CXR,ARVDWYXCRS1,ARVD-PRFR
3102,ARVADA,NORTH POWDER RIVER CXR,ARVDWYXCRS1,ARVD-NPWD
3103,ARVADA,POWDER RIVER 1 CXR,ARVDWYXCRS1,ARVD-PRON
3104,ARVADA,ARVADA CENTRAL OFFICE,ARVDWYXCRS1,ARVD-CO
3105,ARVADA,CMS GAS X CXR,ARVDWYXCRS1,ARVD-CMSG
3106,CLEARMONT,CRAZY WOMAN 3 CXR,CLMTWYXCRS1,CLMT-CWTR
3107,CLEARMONT,LEITER CXR,CLMTWYXCRS1,CLMT-LITR
3108,CLEARMONT,CRAZY WOMAN 2 CXR,CLMTWYXCRS1,CLMT-CWTW
3109,CLEARMONT,CRAZY WOMAN 1 CXR,CLMTWYXCRS1,CLMT-CWON
3111,HYSHAM,MID-SPAN CXR,HYSHMTXCRS1,HYSH-MDSP
3112,HYSHAM,HORSE CREEK CXR,HYSHMTXCRS1,HYSH-HSCK
3113,HYSHAM,VANANDA CXR,HYSHMTXCRS1,HYSH-VNDA
3114,HYSHAM,CASTLE ROCK CXR,HYSHMTXCRS1,HYSH-CSRK
3115,HYSHAM,SARPY MINE CXR,HYSHMTXCRS1,HYSH-SRPM
3116,HYSHAM,TULLOCK CREEK CXR,HYSHMTXCRS1,HYSH-TLCK
3117,HYSHAM,HYSHAM CENTRAL OFFICE,HYSHMTXCRS1,HYSH-CO
3118,HYSHAM,MYERS CXR,HYSHMTXCRS1,HYSH-MYRS
3119,HYSHAM,CUNNINGHAM CXR,HYSHMTXCRS1,HYSH-CNHN
3120,HYSHAM,LIND CXR,HYSHMTXCRS1,HYSH-LIND
3121,HYSHAM,BAYLES CXR,HYSHMTXCRS1,HYSH-BYLS
3123,FORSYTH,FORSTYH CXR 3 CABINET,FRSYMTXCDS1,FRSY-FRTR
3124,FORSYTH,FORSYTH CXR 4 CABINET,FRSYMTXCDS1,FRSY-FRFR
3125,FORSYTH,FORSYTH CXR 2 CABINET,FRSYMTXCDS1,FRSY-FRTW
3126,FORSYTH,FORSYTH CXR 1 CABINET,FRSYMTXCDS1,FRSY-FRON
3326,ALZADA,ALZADA CENTRAL OFFICE,ALZDMTXCRS1,ALZD-CO
3327,ALZADA,WEST ALZADA,ALZDMTXCRS1,ALZD-WALZ
3328,ALZADA,ALBION HUT,ALZDMTXCRS1,ALZD-ALBI
3329,ALZADA,HAUL ROAD CXR,ALZDMTXCRS1,ALZD-HAUL
3331,ROSEBUD,ROSEBUD CREEK HUT,RSBDMTXCRS1,RSBD-RBCK
3332,ROSEBUD,HATHAWAY,RSBDMTXCRS1,RSBD-HTHW
3333,ROSEBUD,ROSEBUD CENTRAL OFFICE,RSBDMTXCRS1,RSBD-CO
3334,ROSEBUD,ROSEBUD BUTTE MICROWAVE SITE,RSBDMTXCRS1,RSBD-RSBT
3335,SOUTH MILES CITY,SOUTH MILES CITY CO,MLCYMTXCRS1,MLCY-CO
3336,SOUTH MILES CITY,B HUT,MLCYMTXCRS1,MLCY-BHUT
3338,SOUTH MILES CITY,T HUT,MLCYMTXCRS1,MLCY-THUT
3339,SOUTH MILES CITY,A HUT,MLCYMTXCRS1,MLCY-AHUT
3343,SOUTH MILES CITY,D HUT,MLCYMTXCRS1,MLCY-DHUT
3344,SOUTH MILES CITY,E HUT,MLCYMTXCRS1,MLCY-EHUT
3345,SOUTH MILES CITY,F HUT,MLCYMTXCRS1,SMCY-FHUT
3346,SOUTH MILES CITY,C HUT,MLCYMTXCRS1,MLCY-CHUT
3348,SOUTH MILES CITY,SY SCHOOL CXR,MLCYMTXCRS1,MLCY-SYSC
3349,SOUTH MILES CITY,JACK CREEK CXR,MLCYMTXCRS1,MLCY-JCKR
3350,SOUTH MILES CITY,COWBOY CXR,MLCYMTXCRS1,MLCY-CWBY
3351,SOUTH MILES CITY,NELSON CREEK,MLCYMTXCRS1,MLCY-NSNC
3352,SOUTH MILES CITY,PRAT CREEK CXR,MLCYMTXCRS1,MLCY-PRTC
3353,FORSYTH,FORSYTH CXR5 CABINET,FRSYMTXCDS1,FRSY-FRFV
