ID,Exchange,RemoteName,CLLIcode,InventoryItem,Route,Size,NumDucts,SubDuct1,SubDuct2,SubDuct3,Length,ConduitType,ConduitClass,WONumber,PostingState,TaxDist,DatePlaced,DateRetired,Ducts,FCCCode,TaxID,Cost,InUse,Color,Trench,LegacyID,DrawName,Handle,Matched_Map,Matched_MapID,Matched_RecordID,CompanyCode,CompanyCodeID,WIRECENTER_Id,TaxDistrict,Name,WONum,Comment,FromJUNCTION_Id,ToJUNCTION_Id,CONDUIT,CONDUIT2,YEAR,TypeSuffix,SizeSuffix,ACADLayer,ACADBlock,ACADFileName
3157,PNBL,,,,7040,2,UO,,,,100,,,,FPA,,,,,,,,,,,51084,m:\rt\pnbl\pine bluffs.dwg,16BAC,,,,RT,40266,,,,,,30829,,,,2011,,,CONDUIT,_no_Value,PINE BLUFFS
3161,PNBL,,,,,1.25,1X2,,,,474,UD,,,FPA,,,,,,,,,,,59007,M:\RT\PNBL\PINE BLUFFS.dwg,1B393,,,,RT,30360,,,,,,62650,62651,,,13,,,CONDUIT,_no_Value,PINE BLUFFS
3162,BRNS,,,,L-6000,,1X1X2,,,,100,UD,,,FPA,,,,,,,,,,,66164,m:\rt\brns\burns.dwg,7E8B,,,,RT,30902,,,,,,65534,65533,,,14,,,CONDUIT,_no_Value,BURNS
3163,PNBL,,,,,2,DUCT,,,,96,,,,FPA,,,,,,,,,,,68249,M:\RT\PNBL\PINE BLUFFS.dwg,298EA,,,,RT,,,,,,RED DUCT,66356,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3169,PNBL,,,,,,DUCT,,,,104,,,,FPA,,,,,,,,,,,67960,M:\RT\PNBL\PINE BLUFFS.dwg,27EEA,,,,RT,,,,DROP,,RED DUCT,,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3170,BRNS,,,,5400,1.25,1X1,,,,1866,UD,,,FPA,,,,,,,,,,,59752,m:\rt\brns\burns.dwg,CDA8,,,,RT,4986,,,,,,38353,62029,,,14,,,CONDUIT,_no_Value,BURNS
3171,,,,,,,DUCT,,,,180,,,,FPA,,,,,,,,,,,67972,M:\RT\PNBL\PINE BLUFFS.dwg,28225,,,,RT,,,,DROP,,RED DUCT,66376,66376,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3174,BRNS,,,,,1.25,1,,,,890,UD,,,FPA,,,,,,,,,,,58897,m:\rt\brns\burns.dwg,31C0,,,,RT,,,,,,,62596,62597,,,11,,,CONDUIT,_no_Value,BURNS
3177,BRNS,,,,,1.25,1,,,,4900,UD,,,FPA,,,,,,,,,,,58896,m:\rt\brns\burns.dwg,39DE,,,,RT,,,,,,,62595,,,,11,,,CONDUIT,_no_Value,BURNS
3179,PNBL,,,,,,DUCT,,,,192,,,,FPA,,,,,,,,,,,68079,M:\RT\PNBL\PINE BLUFFS.dwg,29154,,,,RT,,,,,,SLATE DUCT,66378,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3180,PNBL,,,,,2,DUCT,,,,200,,,,FPA,,,,,,,,,,,68181,M:\RT\PNBL\PINE BLUFFS.dwg,29629,,,,RT,,,,,,RED DUCT,66410,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3182,PNBL,,,,,2,SEBO,,,,150,,,,FPA,,,,,,,,,,,68209,M:\RT\PNBL\PINE BLUFFS.dwg,296DF,,,,RT,,,,,,,66430,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3188,PNBL,,,,,2,DUCT,,,,112,,,,FPA,,,,,,,,,,,68231,M:\RT\PNBL\PINE BLUFFS.dwg,29831,,,,RT,,,,,,SLATE DUCT,66350,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3189,PNBL,,,,,1.25,1X1,,,,786,,,,FPA,,,,,,,,,,,59128,m:\rt\pnbl\pine bluffs.dwg,1B3A3,,,,RT,,,,,,,31252,62689,,,14,,,CONDUIT,_no_Value,PINE BLUFFS
3190,,,,,,2,SEBO,,,,150,,,,FPA,,,,,,,,,,,68208,M:\RT\PNBL\PINE BLUFFS.dwg,296DE,,,,RT,,,,,,,66430,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3192,PNBL,,,,,,DUCT,,,,125,,,,FPA,,,,,,,,,,,67964,M:\RT\PNBL\PINE BLUFFS.dwg,27FB2,,,,RT,,,,DROP,,RED DUCT,66373,66373,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3193,PNBL,,,,,2,DUCT,,,,228,,,,FPA,,,,,,,,,,,68252,M:\RT\PNBL\PINE BLUFFS.dwg,298ED,,,,RT,,,,,,RED DUCT,66356,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3194,PNBL,,,,,,BFO12I,,,,428,,,,FPA,,,,,,,,,,,67944,M:\RT\PNBL\PINE BLUFFS.dwg,2888B,,,,RT,,,,,,,66419,66420,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3195,,,,,,2,DUCT,,,,124,,,,FPA,,,,,,,,,,,68067,M:\RT\PNBL\PINE BLUFFS.dwg,2910B,,,,RT,,,,,,,66465,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3196,PNBL,,,,,2,DUCT,,,,233,,,,FPA,,,,,,,,,,,68175,M:\RT\PNBL\PINE BLUFFS.dwg,295CD,,,,RT,,,,,,WHITE DUCT,66414,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3200,PNBL,,,,,2,DUCT,,,,175,,,,FPA,,,,,,,,,,,68268,M:\RT\PNBL\PINE BLUFFS.dwg,29A79,,,,RT,,,,,,WHITE DUCT,66383,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3201,PNBL,,,,,2,DUCT,,,,174,,,,FPA,,,,,,,,,,,68202,M:\RT\PNBL\PINE BLUFFS.dwg,296BC,,,,RT,,,,,,,66427,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3202,PNBL,,,,,2,DUCT,,,,146,,,,FPA,,,,,,,,,,,68130,M:\RT\PNBL\PINE BLUFFS.dwg,293D7,,,,RT,,,,,,SLATE DUCT,66394,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
